[1129/154229.209:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[1129/194826.289:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1129/194831.301:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1129/194836.314:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1129/194841.322:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1129/194846.331:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1129/194851.334:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1129/194856.351:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1129/194901.359:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1129/194906.365:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1129/194917.200:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1129/194917.214:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
